"","state","date","State_abbrev","stateFIPS","pos_test","neg_test","test","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","density","q_popdensity","q_poverty","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","retail_and_recreation","grocery_and_pharmacy","parks","transit","workplaces","residential"
"20","Alabama",2020-03-26,"AL",1,223,1064,1287,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-30,-3,32,-19,-36,14
"21","Alabama",2020-03-27,"AL",1,81,591,672,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-30,-2,30,-24,-37,16
"22","Alabama",2020-03-28,"AL",1,109,0,109,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-36,-2,22,-25,-22,9
"23","Alabama",2020-03-29,"AL",1,110,0,110,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-41,-13,19,-30,-32,9
"24","Alabama",2020-03-30,"AL",1,53,1510,1563,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-33,-10,10,-25,-38,14
"25","Alabama",2020-03-31,"AL",1,122,604,726,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-36,-11,-23,-26,-40,17
"26","Alabama",2020-04-01,"AL",1,96,399,495,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-25,5,19,-20,-39,14
"27","Alabama",2020-04-02,"AL",1,156,806,962,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-32,3,12,-25,-39,16
"28","Alabama",2020-04-03,"AL",1,199,684,883,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-29,12,17,-29,-40,16
"29","Alabama",2020-04-04,"AL",1,148,1086,1234,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-41,8,4,-33,-26,11
"30","Alabama",2020-04-05,"AL",1,216,2009,2225,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-50,-18,-1,-40,-36,12
"31","Alabama",2020-04-06,"AL",1,172,1515,1687,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-37,-10,3,-29,-41,16
"32","Alabama",2020-04-07,"AL",1,151,0,151,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-39,-11,-15,-31,-42,18
"33","Alabama",2020-04-08,"AL",1,250,3956,4206,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-36,-9,-1,-30,-43,17
"34","Alabama",2020-04-09,"AL",1,400,1305,1705,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-35,-4,5,-31,-43,18
"35","Alabama",2020-04-10,"AL",1,199,0,199,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-34,-4,4,-37,-48,20
"36","Alabama",2020-04-11,"AL",1,223,0,223,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-39,3,11,-35,-29,10
"37","Alabama",2020-04-12,"AL",1,334,0,334,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-64,-47,-50,-51,-45,13
"38","Alabama",2020-04-13,"AL",1,209,7390,7599,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-31,-11,-3,-29,-41,15
"39","Alabama",2020-04-14,"AL",1,142,3793,3935,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-30,-8,3,-27,-40,16
"40","Alabama",2020-04-15,"AL",1,237,723,960,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-19,-2,10,-24,-40,15
"41","Alabama",2020-04-16,"AL",1,232,2082,2314,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-26,-3,7,-27,-39,16
"42","Alabama",2020-04-17,"AL",1,185,1272,1457,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-29,-8,19,-30,-40,17
