"","week","date","state","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"1",7,2020-02-11,"Alabama",1.33333333333333,-5.33333333333333,2.66666666666667,0,16.3333333333333,5.66666666666667
"2",8,2020-02-18,"Alabama",0.857142857142857,1.28571428571429,0.285714285714286,-0.714285714285714,5.57142857142857,6
"3",9,2020-02-25,"Alabama",-1.14285714285714,1.85714285714286,12.2857142857143,6.28571428571429,24.8571428571429,11.8571428571429
"4",10,2020-03-03,"Alabama",-0.571428571428571,2.57142857142857,11,7,31,9.71428571428571
"5",11,2020-03-10,"Alabama",0.571428571428571,-1.28571428571429,4,19.7142857142857,30,6.57142857142857
"6",12,2020-03-17,"Alabama",10,-24.1428571428571,-25.5714285714286,6.71428571428571,14.1428571428571,-11.8571428571429
"7",13,2020-03-24,"Alabama",12.8571428571429,-33.5714285714286,-32.8571428571429,-5.57142857142857,21.8571428571429,-22.2857142857143
"8",14,2020-03-31,"Alabama",14.5714285714286,-37.2857142857143,-35.7142857142857,-1.57142857142857,4.42857142857143,-28.8571428571429
"9",15,2020-04-07,"Alabama",15.8571428571429,-41.5714285714286,-39.7142857142857,-11.8571428571429,-7,-34.8571428571429
"10",16,2020-04-14,"Alabama",14.1428571428571,-37,-29.2857142857143,-8,2.85714285714286,-29.1428571428571
"11",17,2020-04-21,"Alabama",13.8571428571429,-35.7142857142857,-26.8571428571429,-5.42857142857143,10.5714285714286,-25.2857142857143
"12",18,2020-04-28,"Alabama",10.5714285714286,-32.7142857142857,-18.4285714285714,3,29,-17.5714285714286
"13",19,2020-05-05,"Alabama",10,-29.7142857142857,-15,8.57142857142857,29.4285714285714,-10.7142857142857
"14",20,2020-05-12,"Alabama",9,-26.75,-10.5,4.5,47.75,-8.25
"15",7,2020-02-11,"Alaska",2.33333333333333,-10.3333333333333,7.66666666666667,2,17.3333333333333,0.666666666666667
"16",8,2020-02-18,"Alaska",0.285714285714286,1.57142857142857,3,0.714285714285714,6.28571428571429,3.14285714285714
"17",9,2020-02-25,"Alaska",-0.857142857142857,3.57142857142857,11,6.42857142857143,7.57142857142857,7.42857142857143
"18",10,2020-03-03,"Alaska",0.142857142857143,0.428571428571429,10.2857142857143,7.14285714285714,12.1428571428571,6.42857142857143
"19",11,2020-03-10,"Alaska",2,-6.85714285714286,7.14285714285714,15.1428571428571,26.8571428571429,0.857142857142857
"20",12,2020-03-17,"Alaska",9.42857142857143,-23.1428571428571,-27.1428571428571,1,20.7142857142857,-23
"21",13,2020-03-24,"Alaska",15.5714285714286,-38.7142857142857,-42,-16.2857142857143,14.2857142857143,-46.7142857142857
"22",14,2020-03-31,"Alaska",16.1428571428571,-40.5714285714286,-40.1428571428571,-13.8571428571429,9.71428571428571,-48
"23",15,2020-04-07,"Alaska",15.5714285714286,-41.1428571428571,-40.8571428571429,-14.8571428571429,15.4285714285714,-50.8571428571429
"24",16,2020-04-14,"Alaska",14.4285714285714,-36.8571428571429,-29.1428571428571,-8.85714285714286,20.5714285714286,-46.5714285714286
"25",17,2020-04-21,"Alaska",12.8571428571429,-34.7142857142857,-23.1428571428571,-6.42857142857143,47,-43
"26",18,2020-04-28,"Alaska",9.57142857142857,-31.5714285714286,-13.1428571428571,2.71428571428571,70.7142857142857,-36.5714285714286
"27",19,2020-05-05,"Alaska",9,-28.4285714285714,-6.85714285714286,9.85714285714286,101.571428571429,-32.5714285714286
"28",20,2020-05-12,"Alaska",8,-26.5,-4,7.75,129.25,-27
"29",7,2020-02-11,"Arizona",1.33333333333333,-8.66666666666667,6.33333333333333,2,26,2.33333333333333
"30",8,2020-02-18,"Arizona",0.428571428571429,0.285714285714286,3.14285714285714,0.714285714285714,5.42857142857143,4
"31",9,2020-02-25,"Arizona",-0.857142857142857,2.57142857142857,8,4.57142857142857,12.1428571428571,6.85714285714286
"32",10,2020-03-03,"Arizona",-1.14285714285714,0.428571428571429,7.71428571428571,5.85714285714286,20.2857142857143,6.57142857142857
"33",11,2020-03-10,"Arizona",3,-9.57142857142857,1.42857142857143,14.2857142857143,-2.71428571428571,-3.85714285714286
"34",12,2020-03-17,"Arizona",11.1428571428571,-29.7142857142857,-26.5714285714286,2.57142857142857,-8.57142857142857,-24.2857142857143
"35",13,2020-03-24,"Arizona",14.2857142857143,-38.1428571428571,-35.4285714285714,-12.4285714285714,-10.7142857142857,-36.1428571428571
"36",14,2020-03-31,"Arizona",15.8571428571429,-43.1428571428571,-38.8571428571429,-15.2857142857143,-21.7142857142857,-40.5714285714286
"37",15,2020-04-07,"Arizona",16.2857142857143,-45.7142857142857,-41.5714285714286,-17.1428571428571,-25.4285714285714,-42.7142857142857
"38",16,2020-04-14,"Arizona",15.4285714285714,-42.5714285714286,-35.5714285714286,-15.1428571428571,-17.2857142857143,-38.5714285714286
"39",17,2020-04-21,"Arizona",15.1428571428571,-42.4285714285714,-35.1428571428571,-13.5714285714286,-19.2857142857143,-38.1428571428571
"40",18,2020-04-28,"Arizona",13,-40.7142857142857,-31.7142857142857,-9,-20.1428571428571,-35.5714285714286
"41",19,2020-05-05,"Arizona",12.8571428571429,-38,-28.8571428571429,-3.42857142857143,-18.2857142857143,-33.5714285714286
"42",20,2020-05-12,"Arizona",12.5,-36.25,-25.75,-7,-11.75,-31
"43",7,2020-02-11,"Arkansas",1.33333333333333,-4.66666666666667,3,1.33333333333333,15.6666666666667,-1.33333333333333
"44",8,2020-02-18,"Arkansas",0.142857142857143,1.57142857142857,2,-0.285714285714286,2.85714285714286,0.428571428571429
"45",9,2020-02-25,"Arkansas",-1.85714285714286,3,15.1428571428571,7.42857142857143,30.8571428571429,6
"46",10,2020-03-03,"Arkansas",-1.42857142857143,3,14.4285714285714,10.1428571428571,57.1428571428571,6.14285714285714
"47",11,2020-03-10,"Arkansas",1.85714285714286,-1.85714285714286,3.71428571428571,17.2857142857143,26.2857142857143,1.14285714285714
"48",12,2020-03-17,"Arkansas",9.57142857142857,-23.2857142857143,-23.7142857142857,3.42857142857143,19.4285714285714,-12.8571428571429
"49",13,2020-03-24,"Arkansas",11.7142857142857,-32.2857142857143,-29.4285714285714,-8.14285714285714,63.1428571428571,-21.1428571428571
"50",14,2020-03-31,"Arkansas",12.1428571428571,-33.1428571428571,-29.1428571428571,-1.71428571428571,26.2857142857143,-25.1428571428571
"51",15,2020-04-07,"Arkansas",12.2857142857143,-36.5714285714286,-31.2857142857143,-6,30.2857142857143,-28.2857142857143
"52",16,2020-04-14,"Arkansas",11,-32.4285714285714,-20.7142857142857,-2.85714285714286,28.7142857142857,-22.4285714285714
"53",17,2020-04-21,"Arkansas",10.7142857142857,-31.4285714285714,-19,0.428571428571429,38.5714285714286,-20
"54",18,2020-04-28,"Arkansas",8.14285714285714,-29.5714285714286,-11.1428571428571,8.42857142857143,57,-14.5714285714286
"55",19,2020-05-05,"Arkansas",7.85714285714286,-27.2857142857143,-7.71428571428571,14.2857142857143,59.4285714285714,-11.8571428571429
"56",20,2020-05-12,"Arkansas",9.5,-26.5,-11.25,5,30.25,-12.75
"57",7,2020-02-11,"California",2.33333333333333,-13.3333333333333,5,0.666666666666667,31.3333333333333,-3.33333333333333
"58",8,2020-02-18,"California",0.142857142857143,1.14285714285714,1.28571428571429,0.285714285714286,10.5714285714286,0.714285714285714
"59",9,2020-02-25,"California",-0.857142857142857,2.42857142857143,4.57142857142857,3.42857142857143,11.2857142857143,1.57142857142857
"60",10,2020-03-03,"California",0.142857142857143,1.85714285714286,3.42857142857143,5.71428571428571,12.2857142857143,-3
"61",11,2020-03-10,"California",5.28571428571429,-8.28571428571429,-6.42857142857143,16,-17.4285714285714,-20
"62",12,2020-03-17,"California",17.2857142857143,-39,-37.5714285714286,-5.42857142857143,-21.1428571428571,-44.7142857142857
"63",13,2020-03-24,"California",20.7142857142857,-47,-44.2857142857143,-19.4285714285714,-32.5714285714286,-53
"64",14,2020-03-31,"California",21.1428571428571,-49.1428571428571,-44.4285714285714,-18.1428571428571,-39.7142857142857,-54.7142857142857
"65",15,2020-04-07,"California",22.2857142857143,-51.1428571428571,-49.2857142857143,-23,-45.5714285714286,-57.4285714285714
"66",16,2020-04-14,"California",20.4285714285714,-46.8571428571429,-52.8571428571429,-18.4285714285714,-35.1428571428571,-52.1428571428571
"67",17,2020-04-21,"California",19.4285714285714,-46,-53.7142857142857,-15.2857142857143,-28,-50.8571428571429
"68",18,2020-04-28,"California",17.2857142857143,-44.1428571428571,-48.2857142857143,-11.4285714285714,-23,-47.5714285714286
"69",19,2020-05-05,"California",16.8571428571429,-42,-45.7142857142857,-5.57142857142857,-18.8571428571429,-45
"70",20,2020-05-12,"California",17.25,-41.5,-45.25,-9,-14.5,-44.75
"71",7,2020-02-11,"Colorado",1.66666666666667,-6,4.66666666666667,3.33333333333333,-6.33333333333333,-0.666666666666667
"72",8,2020-02-18,"Colorado",0.714285714285714,1.42857142857143,-1,0.285714285714286,-11.4285714285714,1
"73",9,2020-02-25,"Colorado",-0.571428571428571,3.28571428571429,4.85714285714286,5.14285714285714,0.857142857142857,1.85714285714286
"74",10,2020-03-03,"Colorado",-1,3.28571428571429,7.28571428571429,10.7142857142857,35.1428571428571,1.71428571428571
"75",11,2020-03-10,"Colorado",3,-6,-3.14285714285714,18.7142857142857,17.5714285714286,-12
"76",12,2020-03-17,"Colorado",15.5714285714286,-38.2857142857143,-36.1428571428571,-1.57142857142857,-4.14285714285714,-43.4285714285714
"77",13,2020-03-24,"Colorado",19,-47.4285714285714,-46.2857142857143,-20.5714285714286,-3,-55.5714285714286
"78",14,2020-03-31,"Colorado",19.5714285714286,-49.8571428571429,-44.8571428571429,-19.5714285714286,-3.42857142857143,-57
"79",15,2020-04-07,"Colorado",19.8571428571429,-51.8571428571429,-47.8571428571429,-21.8571428571429,-7.85714285714286,-57.8571428571429
"80",16,2020-04-14,"Colorado",19.8571428571429,-48.5714285714286,-43.7142857142857,-21.8571428571429,-15.4285714285714,-55.8571428571429
"81",17,2020-04-21,"Colorado",17.5714285714286,-46.7142857142857,-38,-16.7142857142857,15.7142857142857,-51.4285714285714
"82",18,2020-04-28,"Colorado",14.5714285714286,-43.7142857142857,-31.7142857142857,-9.57142857142857,29.8571428571429,-46.4285714285714
"83",19,2020-05-05,"Colorado",14.1428571428571,-40.5714285714286,-28.2857142857143,-3.42857142857143,27.8571428571429,-44.1428571428571
"84",20,2020-05-12,"Colorado",14.25,-39.75,-28,-5.75,35.75,-41.75
"85",7,2020-02-11,"Connecticut",2,-10.3333333333333,6.66666666666667,-2.66666666666667,15,3.33333333333333
"86",8,2020-02-18,"Connecticut",0.142857142857143,0.571428571428571,3.85714285714286,-1.57142857142857,25.7142857142857,5
"87",9,2020-02-25,"Connecticut",-0.571428571428571,2.71428571428571,5.57142857142857,2,9.85714285714286,3.85714285714286
"88",10,2020-03-03,"Connecticut",-0.571428571428571,2.42857142857143,6.85714285714286,6.28571428571429,38.7142857142857,5
"89",11,2020-03-10,"Connecticut",3.57142857142857,-6.85714285714286,-2.42857142857143,18.7142857142857,33.8571428571429,-12.2857142857143
"90",12,2020-03-17,"Connecticut",15.1428571428571,-34,-35.2857142857143,-1.42857142857143,16.7142857142857,-40
"91",13,2020-03-24,"Connecticut",19.5714285714286,-44.7142857142857,-45.5714285714286,-19.4285714285714,11,-52.5714285714286
"92",14,2020-03-31,"Connecticut",20.1428571428571,-47.5714285714286,-44,-15.7142857142857,24.1428571428571,-54.1428571428571
"93",15,2020-04-07,"Connecticut",21.7142857142857,-52.1428571428571,-49.4285714285714,-22.8571428571429,6.57142857142857,-57.7142857142857
"94",16,2020-04-14,"Connecticut",19.8571428571429,-47,-41.1428571428571,-18.1428571428571,20.8571428571429,-53.7142857142857
"95",17,2020-04-21,"Connecticut",20.1428571428571,-46.2857142857143,-42.7142857142857,-21.1428571428571,8.57142857142857,-53.8571428571429
"96",18,2020-04-28,"Connecticut",16.8571428571429,-43.7142857142857,-34.4285714285714,-14,55.8571428571429,-47.1428571428571
"97",19,2020-05-05,"Connecticut",16.8571428571429,-42,-32.7142857142857,-8.57142857142857,30.2857142857143,-46.5714285714286
"98",20,2020-05-12,"Connecticut",16,-40.75,-29.75,-11.5,89,-40.75
"99",7,2020-02-11,"Delaware",1,-6.33333333333333,8.33333333333333,2,25,10
"100",8,2020-02-18,"Delaware",-0.571428571428571,2.85714285714286,3.71428571428571,1.28571428571429,23.4285714285714,7
"101",9,2020-02-25,"Delaware",-0.571428571428571,3.14285714285714,7.85714285714286,2.85714285714286,4.85714285714286,2.42857142857143
"102",10,2020-03-03,"Delaware",-0.714285714285714,2.42857142857143,9,4.57142857142857,36.7142857142857,7.42857142857143
"103",11,2020-03-10,"Delaware",2.14285714285714,-4.57142857142857,3.14285714285714,11.5714285714286,33.4285714285714,-5.71428571428571
"104",12,2020-03-17,"Delaware",12.8571428571429,-30.4285714285714,-27.7142857142857,-3.28571428571429,24,-37.4285714285714
"105",13,2020-03-24,"Delaware",17.4285714285714,-42.1428571428571,-43.1428571428571,-24.8571428571429,3,-49.1428571428571
"106",14,2020-03-31,"Delaware",18,-44.4285714285714,-40.4285714285714,-21.4285714285714,9.85714285714286,-48.8571428571429
"107",15,2020-04-07,"Delaware",19.2857142857143,-49,-44.8571428571429,-24.2857142857143,-2.57142857142857,-53.2857142857143
"108",16,2020-04-14,"Delaware",18.1428571428571,-44.8571428571429,-38.5714285714286,-19.2857142857143,-6,-48.7142857142857
"109",17,2020-04-21,"Delaware",19.3333333333333,-46.5,-39.5,-19.5,-25.3333333333333,-51.3333333333333
"110",18,2020-04-28,"Delaware",16.1666666666667,-44.5,-32.8333333333333,-14.6666666666667,7.16666666666667,-42.8333333333333
