"","state","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","Age_gp1","Age_gp2","Age_gp3","Age_gp4","density","q_popdensity","q_poverty","State_abbrev.x","temp","perc","beds","State_abbrev.y","smoke_perc","obese_perc","inactive_perc","diabetes_perc","bed_rate"
"27","Montana",1041732,39.8,0.4,3.7,147040,"29.2","23.8","9","20.8","10.4","93.2","31.2",13.7,0.243853506,0.313231234,0.266456248,0.176459012,7.08468443960827,1,2,"MT",42.8,96.87,4126,"MT",0.291982456140351,0.16874070545614,0.249421052631579,0.0945964912280702,396.071158416944
"28","Nebraska",1904760,36.4,4.8,10.7,77348,"26.3","23","10.5","20.8","10.5","91.1","31.3",11.6,0.275841051,0.327559378,0.246407421,0.15019215,24.6258468221544,1,1,"NE",49.8,139.32,7394,"NE",0.337202127659574,0.146327556659574,0.277063829787234,0.102468085106383,388.185388185388
"29","Nevada",2922849,37.9,8.9,28.5,110572,"28.1","25.7","8.2","15.9","8.4","86.3","24.2",13.7,0.252876902,0.341016248,0.256235611,0.149871239,26.4338982744275,1,2,"NV",51.8,56.73,7771,"NV",0.293611111111111,0.175526076166667,0.246111111111111,0.0999444444444444,265.870730920414
"30","New Hampshire",1343622,42.7,1.5,3.6,9349,"27.6","18.7","10.1","22.4","14.1","92.9","36.5",7.9,0.224276619,0.303192416,0.30285229,0.169678675,143.718258637287,4,1,"NH",44.4,234.83,3398,"NH",0.287545454545455,0.149207274090909,0.22,0.0952727272727273,252.898508657941
"31","New Jersey",8881845,39.8,13.5,19.9,8723,"27.5","16.6","6.5","23.8","15.1","89.5","38.9",10.4,0.246554291,0.319903691,0.278522086,0.155019931,1018.20990484925,5,1,"NJ",54.4,244.98,31359,"NJ",0.274,0.140534052681818,0.261727272727273,0.0976818181818182,353.068534747004
"32","New Mexico",2092434,37.5,2.1,48.5,121590,"26.4","23.5","8.2","15.3","11.8","85.3","27.1",20,0.262994197,0.322958335,0.25083324,0.163214228,17.2089316555638,1,3,"NM",55.3,73.16,5132,"NM",0.287352941176471,0.170789438323529,0.237852941176471,0.108647058823529,245.264605717552
"33","New York",19618453,38.7,15.6,18.9,54555,"26.1","15.7","8.7","20.2","15.7","86.5","35.9",14.6,0.237330691,0.339627289,0.26662352,0.1564185,359.608706809642,5,2,"NY",46.3,222.95,57083,"NY",0.308365079365079,0.153553656333333,0.252444444444444,0.108444444444444,290.965857501608
"34","North Carolina",10155624,38.6,21.5,9.2,53819,"25.9","21.5","9.5","19.6","10.9","87.4","30.5",15.4,0.253409342,0.328788265,0.263109977,0.154692415,188.69960422899,4,3,"NC",60.8,276.37,27175,"NC",0.337782178217822,0.174722874950495,0.27770297029703,0.132138613861386,267.585723929913
"35","North Dakota",752201,35.1,2.7,3.5,70698,"26.8","22.6","13.7","21.5","7.9","92.5","29.5",10.9,0.259767004,0.353599636,0.240515501,0.146117859,10.6396361990438,1,1,"ND",41.5,94.71,3878,"ND",0.332944444444444,0.171224747777778,0.279537037037037,0.101481481481481,515.553688442318
"36","Ohio",11641879,39.3,12.4,3.7,44826,"33.3","20.5","8.6","17.3","10.5","90.1","27.8",14.5,0.251622955,0.315624651,0.270161715,0.162590678,259.712644447419,4,2,"OH",52.6,223.71,49177,"OH",0.342943820224719,0.192211852516854,0.289292134831461,0.127573033707865,422.414629116142
