,state,date,Mask,lock_down,Stay-at-home
1,Alabama,1/22/20,0,0,0
70,Alabama,1/23/20,0,0,0
139,Alabama,1/24/20,0,0,0
208,Alabama,1/25/20,0,0,0
277,Alabama,1/26/20,0,0,0
346,Alabama,1/27/20,0,0,0
415,Alabama,1/28/20,0,0,0
484,Alabama,1/29/20,0,0,0
553,Alabama,1/30/20,0,0,0
622,Alabama,1/31/20,0,0,0
691,Alabama,2/1/20,0,0,0
760,Alabama,2/2/20,0,0,0
829,Alabama,2/3/20,0,0,0
898,Alabama,2/4/20,0,0,0
967,Alabama,2/5/20,0,0,0
1036,Alabama,2/6/20,0,0,0
1105,Alabama,2/7/20,0,0,0
1174,Alabama,2/8/20,0,0,0
1243,Alabama,2/9/20,0,0,0
1312,Alabama,2/10/20,0,0,0
1381,Alabama,2/11/20,0,0,0
1450,Alabama,2/12/20,0,0,0
1519,Alabama,2/13/20,0,0,0
1588,Alabama,2/14/20,0,0,0
1657,Alabama,2/15/20,0,0,0
1726,Alabama,2/16/20,0,0,0
1795,Alabama,2/17/20,0,0,0
1864,Alabama,2/18/20,0,0,0
1933,Alabama,2/19/20,0,0,0
2002,Alabama,2/20/20,0,0,0
2071,Alabama,2/21/20,0,0,0
2140,Alabama,2/22/20,0,0,0
2209,Alabama,2/23/20,0,0,0
2278,Alabama,2/24/20,0,0,0
2347,Alabama,2/25/20,0,0,0
2416,Alabama,2/26/20,0,0,0
2485,Alabama,2/27/20,0,0,0
2554,Alabama,2/28/20,0,0,0
2623,Alabama,2/29/20,0,0,0
2692,Alabama,3/1/20,0,0,0
2761,Alabama,3/2/20,0,0,0
2830,Alabama,3/3/20,0,0,0
2899,Alabama,3/4/20,0,0,0
2968,Alabama,3/5/20,0,0,0
3037,Alabama,3/6/20,0,0,0
3106,Alabama,3/7/20,0,0,0
3175,Alabama,3/8/20,0,0,0
3244,Alabama,3/9/20,0,0,0
3313,Alabama,3/10/20,0,0,0
3382,Alabama,3/11/20,0,0,0
3451,Alabama,3/12/20,0,0,0
3520,Alabama,3/13/20,0,0,0
3589,Alabama,3/14/20,0,0,0
3658,Alabama,3/15/20,0,0,0
3727,Alabama,3/16/20,0,0,0
3796,Alabama,3/17/20,0,0,0
3865,Alabama,3/18/20,0,0,0
3934,Alabama,3/19/20,0,0,0
4003,Alabama,3/20/20,0,0,0
4072,Alabama,3/21/20,0,0,0
4141,Alabama,3/22/20,0,0,0
4210,Alabama,3/23/20,0,0,0
4279,Alabama,3/24/20,0,0,0
4348,Alabama,3/25/20,0,0,0
4417,Alabama,3/26/20,0,0,0
4486,Alabama,3/27/20,0,0,0
4555,Alabama,3/28/20,0,0,0
4624,Alabama,3/29/20,0,0,0
4693,Alabama,3/30/20,0,0,0
4762,Alabama,3/31/20,0,0,0
4831,Alabama,4/1/20,0,0,0
4900,Alabama,4/2/20,0,0,0
4969,Alabama,4/3/20,0,0,0
5038,Alabama,4/4/20,1,1,1
5107,Alabama,4/5/20,1,1,1
5176,Alabama,4/6/20,1,1,1
5245,Alabama,4/7/20,1,1,1
5314,Alabama,4/8/20,1,1,1
5383,Alabama,4/9/20,1,1,1
5452,Alabama,4/10/20,1,1,1
5521,Alabama,4/11/20,1,1,1
5590,Alabama,4/12/20,1,1,1
5659,Alabama,4/13/20,1,1,1
5728,Alabama,4/14/20,1,1,1
5797,Alabama,4/15/20,1,1,1
5866,Alabama,4/16/20,1,1,1
5935,Alabama,4/17/20,1,1,1
6004,Alabama,4/18/20,1,1,1
6073,Alabama,4/19/20,1,1,1
6142,Alabama,4/20/20,1,1,1
6211,Alabama,4/21/20,1,1,1
6280,Alabama,4/22/20,1,1,1
6349,Alabama,4/23/20,1,1,1
6418,Alabama,4/24/20,1,1,1
6487,Alabama,4/25/20,1,1,1
6556,Alabama,4/26/20,1,1,1
6625,Alabama,4/27/20,1,1,1
6694,Alabama,4/28/20,1,1,1
6763,Alabama,4/29/20,1,1,1
6832,Alabama,4/30/20,1,1,1
6901,Alabama,5/1/20,1,1,0
6970,Alabama,5/2/20,1,1,0
7039,Alabama,5/3/20,1,1,0
7108,Alabama,5/4/20,1,1,0
7177,Alabama,5/5/20,1,1,0
7246,Alabama,5/6/20,1,1,0
7315,Alabama,5/7/20,1,1,0
7384,Alabama,5/8/20,1,1,0
,Alabama,5/9/20,,,0
,Alabama,5/10/20,,,0
,Alabama,5/11/20,,,0
,Alabama,5/12/20,,,0
,Alabama,5/13/20,,,0
,Alabama,5/14/20,,,0
,Alabama,5/15/20,,,0
,Alabama,5/16/20,,,0
,Alabama,5/17/20,,,0
,Alabama,5/18/20,,,0
,Alabama,5/19/20,,,0
,Alabama,5/20/20,,,0
7453,Alaska,1/22/20,0,0,0
7484,Alaska,1/23/20,0,0,0
7515,Alaska,1/24/20,0,0,0
7546,Alaska,1/25/20,0,0,0
7577,Alaska,1/26/20,0,0,0
7608,Alaska,1/27/20,0,0,0
7639,Alaska,1/28/20,0,0,0
7670,Alaska,1/29/20,0,0,0
7701,Alaska,1/30/20,0,0,0
7732,Alaska,1/31/20,0,0,0
7763,Alaska,2/1/20,0,0,0
7794,Alaska,2/2/20,0,0,0
7825,Alaska,2/3/20,0,0,0
7856,Alaska,2/4/20,0,0,0
7887,Alaska,2/5/20,0,0,0
7918,Alaska,2/6/20,0,0,0
7949,Alaska,2/7/20,0,0,0
7980,Alaska,2/8/20,0,0,0
8011,Alaska,2/9/20,0,0,0
8042,Alaska,2/10/20,0,0,0
8073,Alaska,2/11/20,0,0,0
8104,Alaska,2/12/20,0,0,0
8135,Alaska,2/13/20,0,0,0
8166,Alaska,2/14/20,0,0,0
8197,Alaska,2/15/20,0,0,0
8228,Alaska,2/16/20,0,0,0
8259,Alaska,2/17/20,0,0,0
8290,Alaska,2/18/20,0,0,0
8321,Alaska,2/19/20,0,0,0
8352,Alaska,2/20/20,0,0,0
8383,Alaska,2/21/20,0,0,0
8414,Alaska,2/22/20,0,0,0
8445,Alaska,2/23/20,0,0,0
8476,Alaska,2/24/20,0,0,0
8507,Alaska,2/25/20,0,0,0
8538,Alaska,2/26/20,0,0,0
8569,Alaska,2/27/20,0,0,0
8600,Alaska,2/28/20,0,0,0
8631,Alaska,2/29/20,0,0,0
8662,Alaska,3/1/20,0,0,0
8693,Alaska,3/2/20,0,0,0
8724,Alaska,3/3/20,0,0,0
8755,Alaska,3/4/20,0,0,0
8786,Alaska,3/5/20,0,0,0
8817,Alaska,3/6/20,0,0,0
8848,Alaska,3/7/20,0,0,0
8879,Alaska,3/8/20,0,0,0
8910,Alaska,3/9/20,0,0,0
8941,Alaska,3/10/20,0,0,0
8972,Alaska,3/11/20,0,0,0
9003,Alaska,3/12/20,0,0,0
9034,Alaska,3/13/20,0,0,0
9065,Alaska,3/14/20,0,0,0
9096,Alaska,3/15/20,0,0,0
9127,Alaska,3/16/20,0,0,0
9158,Alaska,3/17/20,0,0,0
9189,Alaska,3/18/20,0,0,0
9220,Alaska,3/19/20,0,0,0
9251,Alaska,3/20/20,0,0,0
9282,Alaska,3/21/20,0,0,0
9313,Alaska,3/22/20,0,0,0
9344,Alaska,3/23/20,0,0,0
9375,Alaska,3/24/20,0,0,0
9406,Alaska,3/25/20,0,0,0
9437,Alaska,3/26/20,0,0,0
9468,Alaska,3/27/20,0,0,0
9499,Alaska,3/28/20,0,1,1
9530,Alaska,3/29/20,0,1,1
9561,Alaska,3/30/20,0,1,1
9592,Alaska,3/31/20,0,1,1
9623,Alaska,4/1/20,0,1,1
9654,Alaska,4/2/20,0,1,1
9685,Alaska,4/3/20,0,1,1
9716,Alaska,4/4/20,1,1,1
9747,Alaska,4/5/20,1,1,1
9778,Alaska,4/6/20,1,1,1
9809,Alaska,4/7/20,1,1,1
9840,Alaska,4/8/20,1,1,1
9871,Alaska,4/9/20,1,1,1
9902,Alaska,4/10/20,1,1,1
9933,Alaska,4/11/20,1,1,1
9964,Alaska,4/12/20,1,1,1
9995,Alaska,4/13/20,1,1,1
10026,Alaska,4/14/20,1,1,1
10057,Alaska,4/15/20,1,1,1
10088,Alaska,4/16/20,1,1,1
10119,Alaska,4/17/20,1,1,1
10150,Alaska,4/18/20,1,1,1
10181,Alaska,4/19/20,1,1,1
10212,Alaska,4/20/20,1,1,1
10243,Alaska,4/21/20,1,1,1
10274,Alaska,4/22/20,1,1,1
10305,Alaska,4/23/20,1,1,1
10336,Alaska,4/24/20,1,1,1
10367,Alaska,4/25/20,1,1,0
10398,Alaska,4/26/20,1,1,0
10429,Alaska,4/27/20,1,1,0
10460,Alaska,4/28/20,1,1,0
10491,Alaska,4/29/20,1,1,0
10522,Alaska,4/30/20,1,1,0
10553,Alaska,5/1/20,1,1,0
10584,Alaska,5/2/20,1,1,0
10615,Alaska,5/3/20,1,1,0
10646,Alaska,5/4/20,1,1,0
10677,Alaska,5/5/20,1,1,0
10708,Alaska,5/6/20,1,1,0
10739,Alaska,5/7/20,1,1,0
10770,Alaska,5/8/20,1,1,0
,Alaska,5/9/20,,,0
,Alaska,5/10/20,,,0
,Alaska,5/11/20,,,0
,Alaska,5/12/20,,,0
,Alaska,5/13/20,,,0
,Alaska,5/14/20,,,0
,Alaska,5/15/20,,,0
,Alaska,5/16/20,,,0
,Alaska,5/17/20,,,0
,Alaska,5/18/20,,,0
,Alaska,5/19/20,,,0
,Alaska,5/20/20,,,0
10801,Arizona,1/22/20,0,0,0
10818,Arizona,1/23/20,0,0,0
10835,Arizona,1/24/20,0,0,0
10852,Arizona,1/25/20,0,0,0
10869,Arizona,1/26/20,0,0,0
10886,Arizona,1/27/20,0,0,0
10903,Arizona,1/28/20,0,0,0
10920,Arizona,1/29/20,0,0,0
10937,Arizona,1/30/20,0,0,0
10954,Arizona,1/31/20,0,0,0
10971,Arizona,2/1/20,0,0,0
10988,Arizona,2/2/20,0,0,0
11005,Arizona,2/3/20,0,0,0
11022,Arizona,2/4/20,0,0,0
11039,Arizona,2/5/20,0,0,0
11056,Arizona,2/6/20,0,0,0
11073,Arizona,2/7/20,0,0,0
11090,Arizona,2/8/20,0,0,0
11107,Arizona,2/9/20,0,0,0
11124,Arizona,2/10/20,0,0,0
11141,Arizona,2/11/20,0,0,0
11158,Arizona,2/12/20,0,0,0
11175,Arizona,2/13/20,0,0,0
11192,Arizona,2/14/20,0,0,0
11209,Arizona,2/15/20,0,0,0
11226,Arizona,2/16/20,0,0,0
11243,Arizona,2/17/20,0,0,0
11260,Arizona,2/18/20,0,0,0
11277,Arizona,2/19/20,0,0,0
11294,Arizona,2/20/20,0,0,0
11311,Arizona,2/21/20,0,0,0
11328,Arizona,2/22/20,0,0,0
11345,Arizona,2/23/20,0,0,0
11362,Arizona,2/24/20,0,0,0
11379,Arizona,2/25/20,0,0,0
11396,Arizona,2/26/20,0,0,0
11413,Arizona,2/27/20,0,0,0
11430,Arizona,2/28/20,0,0,0
11447,Arizona,2/29/20,0,0,0
11464,Arizona,3/1/20,0,0,0
11481,Arizona,3/2/20,0,0,0
11498,Arizona,3/3/20,0,0,0
11515,Arizona,3/4/20,0,0,0
11532,Arizona,3/5/20,0,0,0
11549,Arizona,3/6/20,0,0,0
11566,Arizona,3/7/20,0,0,0
11583,Arizona,3/8/20,0,0,0
11600,Arizona,3/9/20,0,0,0
11617,Arizona,3/10/20,0,0,0
11634,Arizona,3/11/20,0,0,0
11651,Arizona,3/12/20,0,0,0
11668,Arizona,3/13/20,0,0,0
11685,Arizona,3/14/20,0,0,0
11702,Arizona,3/15/20,0,0,0
11719,Arizona,3/16/20,0,0,0
11736,Arizona,3/17/20,0,0,0
11753,Arizona,3/18/20,0,0,0
11770,Arizona,3/19/20,0,0,0
11787,Arizona,3/20/20,0,0,0
11804,Arizona,3/21/20,0,0,0
11821,Arizona,3/22/20,0,0,0
11838,Arizona,3/23/20,0,0,0
11855,Arizona,3/24/20,0,0,0
11872,Arizona,3/25/20,0,0,0
11889,Arizona,3/26/20,0,0,0
11906,Arizona,3/27/20,0,0,0
11923,Arizona,3/28/20,0,0,0
11940,Arizona,3/29/20,0,0,0
11957,Arizona,3/30/20,0,0,0
11974,Arizona,3/31/20,0,1,1
11991,Arizona,4/1/20,0,1,1
12008,Arizona,4/2/20,0,1,1
12025,Arizona,4/3/20,0,1,1
12042,Arizona,4/4/20,1,1,1
12059,Arizona,4/5/20,1,1,1
12076,Arizona,4/6/20,1,1,1
12093,Arizona,4/7/20,1,1,1
12110,Arizona,4/8/20,1,1,1
12127,Arizona,4/9/20,1,1,1
12144,Arizona,4/10/20,1,1,1
12161,Arizona,4/11/20,1,1,1
12178,Arizona,4/12/20,1,1,1
12195,Arizona,4/13/20,1,1,1
12212,Arizona,4/14/20,1,1,1
12229,Arizona,4/15/20,1,1,1
12246,Arizona,4/16/20,1,1,1
12263,Arizona,4/17/20,1,1,1
12280,Arizona,4/18/20,1,1,1
12297,Arizona,4/19/20,1,1,1
12314,Arizona,4/20/20,1,1,1
12331,Arizona,4/21/20,1,1,1
12348,Arizona,4/22/20,1,1,1
12365,Arizona,4/23/20,1,1,1
12382,Arizona,4/24/20,1,1,1
12399,Arizona,4/25/20,1,1,1
12416,Arizona,4/26/20,1,1,1
12433,Arizona,4/27/20,1,1,1
12450,Arizona,4/28/20,1,1,1
12467,Arizona,4/29/20,1,1,1
12484,Arizona,4/30/20,1,1,1
12501,Arizona,5/1/20,1,1,1
12518,Arizona,5/2/20,1,1,1
12535,Arizona,5/3/20,1,1,1
12552,Arizona,5/4/20,1,1,1
12569,Arizona,5/5/20,1,1,1
12586,Arizona,5/6/20,1,1,1
12603,Arizona,5/7/20,1,1,1
12620,Arizona,5/8/20,1,1,1
,Arizona,5/9/20,,,1
,Arizona,5/10/20,,,1
,Arizona,5/11/20,,,1
,Arizona,5/12/20,,,1
,Arizona,5/13/20,,,1
,Arizona,5/14/20,,,1
,Arizona,5/15/20,,,1
,Arizona,5/16/20,,,0
,Arizona,5/17/20,,,0
,Arizona,5/18/20,,,0
,Arizona,5/19/20,,,0
,Arizona,5/20/20,,,0
13484,Arkansas,2/2/20,0,0,0
13561,Arkansas,2/3/20,0,0,0
13638,Arkansas,2/4/20,0,0,0
13715,Arkansas,2/5/20,0,0,0
13792,Arkansas,2/6/20,0,0,0
13869,Arkansas,2/7/20,0,0,0
13946,Arkansas,2/8/20,0,0,0
14023,Arkansas,2/9/20,0,0,0
14100,Arkansas,2/10/20,0,0,0
14177,Arkansas,2/11/20,0,0,0
14254,Arkansas,2/12/20,0,0,0
14331,Arkansas,2/13/20,0,0,0
14408,Arkansas,2/14/20,0,0,0
14485,Arkansas,2/15/20,0,0,0
14562,Arkansas,2/16/20,0,0,0
14639,Arkansas,2/17/20,0,0,0
14716,Arkansas,2/18/20,0,0,0
14793,Arkansas,2/19/20,0,0,0
14870,Arkansas,2/20/20,0,0,0
14947,Arkansas,2/21/20,0,0,0
15024,Arkansas,2/22/20,0,0,0
15101,Arkansas,2/23/20,0,0,0
15178,Arkansas,2/24/20,0,0,0
15255,Arkansas,2/25/20,0,0,0
15332,Arkansas,2/26/20,0,0,0
15409,Arkansas,2/27/20,0,0,0
15486,Arkansas,2/28/20,0,0,0
15563,Arkansas,2/29/20,0,0,0
15640,Arkansas,3/1/20,0,0,0
15717,Arkansas,3/2/20,0,0,0
15794,Arkansas,3/3/20,0,0,0
15871,Arkansas,3/4/20,0,0,0
15948,Arkansas,3/5/20,0,0,0
16025,Arkansas,3/6/20,0,0,0
16102,Arkansas,3/7/20,0,0,0
16179,Arkansas,3/8/20,0,0,0
16256,Arkansas,3/9/20,0,0,0
16333,Arkansas,3/10/20,0,0,0
16410,Arkansas,3/11/20,0,0,0
16487,Arkansas,3/12/20,0,0,0
16564,Arkansas,3/13/20,0,0,0
16641,Arkansas,3/14/20,0,0,0
16718,Arkansas,3/15/20,0,0,0
16795,Arkansas,3/16/20,0,0,0
16872,Arkansas,3/17/20,0,0,0
16949,Arkansas,3/18/20,0,0,0
17026,Arkansas,3/19/20,0,0,0
17103,Arkansas,3/20/20,0,0,0
17180,Arkansas,3/21/20,0,0,0
17257,Arkansas,3/22/20,0,0,0
17334,Arkansas,3/23/20,0,0,0
17411,Arkansas,3/24/20,0,0,0
17488,Arkansas,3/25/20,0,0,0
17565,Arkansas,3/26/20,0,0,0
17642,Arkansas,3/27/20,0,0,0
17719,Arkansas,3/28/20,0,0,0
17796,Arkansas,3/29/20,0,0,0
17873,Arkansas,3/30/20,0,0,0
17950,Arkansas,3/31/20,0,0,0
18027,Arkansas,4/1/20,0,0,0
18104,Arkansas,4/2/20,0,0,0
18181,Arkansas,4/3/20,0,0,0
18258,Arkansas,4/4/20,1,0,0
18335,Arkansas,4/5/20,1,0,0
18412,Arkansas,4/6/20,1,0,0
18489,Arkansas,4/7/20,1,0,0
18566,Arkansas,4/8/20,1,0,0
18643,Arkansas,4/9/20,1,0,0
18720,Arkansas,4/10/20,1,0,0
18797,Arkansas,4/11/20,1,0,0
18874,Arkansas,4/12/20,1,0,0
18951,Arkansas,4/13/20,1,0,0
19028,Arkansas,4/14/20,1,0,0
19105,Arkansas,4/15/20,1,0,0
19182,Arkansas,4/16/20,1,0,0
19259,Arkansas,4/17/20,1,0,0
19336,Arkansas,4/18/20,1,0,0
19413,Arkansas,4/19/20,1,0,0
19490,Arkansas,4/20/20,1,0,0
19567,Arkansas,4/21/20,1,0,0
19644,Arkansas,4/22/20,1,0,0
19721,Arkansas,4/23/20,1,0,0
19798,Arkansas,4/24/20,1,0,0
19875,Arkansas,4/25/20,1,0,0
19952,Arkansas,4/26/20,1,0,0
20029,Arkansas,4/27/20,1,0,0
20106,Arkansas,4/28/20,1,0,0
20183,Arkansas,4/29/20,1,0,0
20260,Arkansas,4/30/20,1,0,0
20337,Arkansas,5/1/20,1,0,0
20414,Arkansas,5/2/20,1,0,0
20491,Arkansas,5/3/20,1,0,0
20568,Arkansas,5/4/20,1,0,0
20645,Arkansas,5/5/20,1,0,0
20722,Arkansas,5/6/20,1,0,0
20799,Arkansas,5/7/20,1,0,0
20876,Arkansas,5/8/20,1,0,0
,Arkansas,5/9/20,,,0
,Arkansas,5/10/20,,,0
,Arkansas,5/11/20,,,0
,Arkansas,5/12/20,,,0
,Arkansas,5/13/20,,,0
,Arkansas,5/14/20,,,0
,Arkansas,5/15/20,,,0
,Arkansas,5/16/20,,,0
,Arkansas,5/17/20,,,0
,Arkansas,5/18/20,,,0
,Arkansas,5/19/20,,,0
,Arkansas,5/20/20,,,0
21614,California,2/2/20,0,0,0
21674,California,2/3/20,0,0,0
21734,California,2/4/20,0,0,0
21794,California,2/5/20,0,0,0
21854,California,2/6/20,0,0,0
21914,California,2/7/20,0,0,0
21974,California,2/8/20,0,0,0
22034,California,2/9/20,0,0,0
22094,California,2/10/20,0,0,0
22154,California,2/11/20,0,0,0
22214,California,2/12/20,0,0,0
22274,California,2/13/20,0,0,0
22334,California,2/14/20,0,0,0
22394,California,2/15/20,0,0,0
22454,California,2/16/20,0,0,0
22514,California,2/17/20,0,0,0
22574,California,2/18/20,0,0,0
22634,California,2/19/20,0,0,0
22694,California,2/20/20,0,0,0
22754,California,2/21/20,0,0,0
22814,California,2/22/20,0,0,0
22874,California,2/23/20,0,0,0
22934,California,2/24/20,0,0,0
22994,California,2/25/20,0,0,0
23054,California,2/26/20,0,0,0
23114,California,2/27/20,0,0,0
23174,California,2/28/20,0,0,0
23234,California,2/29/20,0,0,0
23294,California,3/1/20,0,0,0
23354,California,3/2/20,0,0,0
23414,California,3/3/20,0,0,0
23474,California,3/4/20,0,0,0
23534,California,3/5/20,0,0,0
23594,California,3/6/20,0,0,0
23654,California,3/7/20,0,0,0
23714,California,3/8/20,0,0,0
23774,California,3/9/20,0,0,0
23834,California,3/10/20,0,0,0
23894,California,3/11/20,0,0,0
23954,California,3/12/20,0,0,0
24014,California,3/13/20,0,0,0
24074,California,3/14/20,0,0,0
24134,California,3/15/20,0,0,0
24194,California,3/16/20,0,0,0
24254,California,3/17/20,0,0,0
24314,California,3/18/20,0,0,0
24374,California,3/19/20,0,1,1
24434,California,3/20/20,0,1,1
24494,California,3/21/20,0,1,1
24554,California,3/22/20,0,1,1
24614,California,3/23/20,0,1,1
24674,California,3/24/20,0,1,1
24734,California,3/25/20,0,1,1
24794,California,3/26/20,0,1,1
24854,California,3/27/20,0,1,1
24914,California,3/28/20,0,1,1
24974,California,3/29/20,0,1,1
25034,California,3/30/20,0,1,1
25094,California,3/31/20,0,1,1
25154,California,4/1/20,0,1,1
25214,California,4/2/20,0,1,1
25274,California,4/3/20,0,1,1
25334,California,4/4/20,1,1,1
25394,California,4/5/20,1,1,1
25454,California,4/6/20,1,1,1
25514,California,4/7/20,1,1,1
25574,California,4/8/20,1,1,1
25634,California,4/9/20,1,1,1
25694,California,4/10/20,1,1,1
25754,California,4/11/20,1,1,1
25814,California,4/12/20,1,1,1
25874,California,4/13/20,1,1,1
25934,California,4/14/20,1,1,1
25994,California,4/15/20,1,1,1
26054,California,4/16/20,1,1,1
26114,California,4/17/20,1,1,1
26174,California,4/18/20,1,1,1
26234,California,4/19/20,1,1,1
26294,California,4/20/20,1,1,1
26354,California,4/21/20,1,1,1
26414,California,4/22/20,1,1,1
26474,California,4/23/20,1,1,1
26534,California,4/24/20,1,1,1
26594,California,4/25/20,1,1,1
26654,California,4/26/20,1,1,1
26714,California,4/27/20,1,1,1
26774,California,4/28/20,1,1,1
26834,California,4/29/20,1,1,1
26894,California,4/30/20,1,1,1
26954,California,5/1/20,1,1,1
27014,California,5/2/20,1,1,1
27074,California,5/3/20,1,1,1
27134,California,5/4/20,1,1,1
27194,California,5/5/20,1,1,1
27254,California,5/6/20,1,1,1
27314,California,5/7/20,1,1,1
27374,California,5/8/20,1,1,1
,California,5/9/20,,,1
,California,5/10/20,,,1
,California,5/11/20,,,1
,California,5/12/20,,,1
,California,5/13/20,,,1
,California,5/14/20,,,1
,California,5/15/20,,,1
,California,5/16/20,,,1
,California,5/17/20,,,1
,California,5/18/20,,,1
,California,5/19/20,,,1
,California,5/20/20,,,1
28160,Colorado,2/2/20,0,0,0
28226,Colorado,2/3/20,0,0,0
28292,Colorado,2/4/20,0,0,0
28358,Colorado,2/5/20,0,0,0
28424,Colorado,2/6/20,0,0,0
28490,Colorado,2/7/20,0,0,0
28556,Colorado,2/8/20,0,0,0
28622,Colorado,2/9/20,0,0,0
28688,Colorado,2/10/20,0,0,0
28754,Colorado,2/11/20,0,0,0
28820,Colorado,2/12/20,0,0,0
28886,Colorado,2/13/20,0,0,0
28952,Colorado,2/14/20,0,0,0
29018,Colorado,2/15/20,0,0,0
29084,Colorado,2/16/20,0,0,0
29150,Colorado,2/17/20,0,0,0
29216,Colorado,2/18/20,0,0,0
29282,Colorado,2/19/20,0,0,0
29348,Colorado,2/20/20,0,0,0
29414,Colorado,2/21/20,0,0,0
29480,Colorado,2/22/20,0,0,0
29546,Colorado,2/23/20,0,0,0
29612,Colorado,2/24/20,0,0,0
29678,Colorado,2/25/20,0,0,0
29744,Colorado,2/26/20,0,0,0
29810,Colorado,2/27/20,0,0,0
29876,Colorado,2/28/20,0,0,0
29942,Colorado,2/29/20,0,0,0
30008,Colorado,3/1/20,0,0,0
30074,Colorado,3/2/20,0,0,0
30140,Colorado,3/3/20,0,0,0
30206,Colorado,3/4/20,0,0,0
30272,Colorado,3/5/20,0,0,0
30338,Colorado,3/6/20,0,0,0
30404,Colorado,3/7/20,0,0,0
30470,Colorado,3/8/20,0,0,0
30536,Colorado,3/9/20,0,0,0
30602,Colorado,3/10/20,0,0,0
30668,Colorado,3/11/20,0,0,0
30734,Colorado,3/12/20,0,0,0
30800,Colorado,3/13/20,0,0,0
30866,Colorado,3/14/20,0,0,0
30932,Colorado,3/15/20,0,0,0
30998,Colorado,3/16/20,0,0,0
31064,Colorado,3/17/20,0,0,0
31130,Colorado,3/18/20,0,0,0
31196,Colorado,3/19/20,0,0,0
31262,Colorado,3/20/20,0,0,0
31328,Colorado,3/21/20,0,0,0
31394,Colorado,3/22/20,0,0,0
31460,Colorado,3/23/20,0,0,0
31526,Colorado,3/24/20,0,0,0
31592,Colorado,3/25/20,0,0,0
31658,Colorado,3/26/20,0,1,1
31724,Colorado,3/27/20,0,1,1
31790,Colorado,3/28/20,0,1,1
31856,Colorado,3/29/20,0,1,1
31922,Colorado,3/30/20,0,1,1
31988,Colorado,3/31/20,0,1,1
32054,Colorado,4/1/20,0,1,1
32120,Colorado,4/2/20,0,1,1
32186,Colorado,4/3/20,0,1,1
32252,Colorado,4/4/20,1,1,1
32318,Colorado,4/5/20,1,1,1
32384,Colorado,4/6/20,1,1,1
32450,Colorado,4/7/20,1,1,1
32516,Colorado,4/8/20,1,1,1
32582,Colorado,4/9/20,1,1,1
32648,Colorado,4/10/20,1,1,1
32714,Colorado,4/11/20,1,1,1
32780,Colorado,4/12/20,1,1,1
32846,Colorado,4/13/20,1,1,1
32912,Colorado,4/14/20,1,1,1
32978,Colorado,4/15/20,1,1,1
33044,Colorado,4/16/20,1,1,1
33110,Colorado,4/17/20,1,1,1
33176,Colorado,4/18/20,1,1,1
33242,Colorado,4/19/20,1,1,1
33308,Colorado,4/20/20,1,1,1
33374,Colorado,4/21/20,1,1,1
33440,Colorado,4/22/20,1,1,1
33506,Colorado,4/23/20,1,1,1
33572,Colorado,4/24/20,1,1,1
33638,Colorado,4/25/20,1,1,1
33704,Colorado,4/26/20,1,1,1
33770,Colorado,4/27/20,1,1,0
33836,Colorado,4/28/20,1,1,0
33902,Colorado,4/29/20,1,1,0
33968,Colorado,4/30/20,1,1,0
34034,Colorado,5/1/20,1,1,0
34100,Colorado,5/2/20,1,1,0
34166,Colorado,5/3/20,1,1,0
34232,Colorado,5/4/20,1,1,0
34298,Colorado,5/5/20,1,1,0
34364,Colorado,5/6/20,1,1,0
34430,Colorado,5/7/20,1,1,0
34496,Colorado,5/8/20,1,1,0
,Colorado,5/9/20,,,0
,Colorado,5/10/20,,,0
,Colorado,5/11/20,,,0
,Colorado,5/12/20,,,0
,Colorado,5/13/20,,,0
,Colorado,5/14/20,,,0
,Colorado,5/15/20,,,0
,Colorado,5/16/20,,,0
,Colorado,5/17/20,,,0
,Colorado,5/18/20,,,0
,Colorado,5/19/20,,,0
,Colorado,5/20/20,,,0
34562,Connecticut,1/22/20,0,0,0
34572,Connecticut,1/23/20,0,0,0
34582,Connecticut,1/24/20,0,0,0
34592,Connecticut,1/25/20,0,0,0
34602,Connecticut,1/26/20,0,0,0
34612,Connecticut,1/27/20,0,0,0
34622,Connecticut,1/28/20,0,0,0
34632,Connecticut,1/29/20,0,0,0
34642,Connecticut,1/30/20,0,0,0
34652,Connecticut,1/31/20,0,0,0
34662,Connecticut,2/1/20,0,0,0
34672,Connecticut,2/2/20,0,0,0
34682,Connecticut,2/3/20,0,0,0
34692,Connecticut,2/4/20,0,0,0
34702,Connecticut,2/5/20,0,0,0
34712,Connecticut,2/6/20,0,0,0
34722,Connecticut,2/7/20,0,0,0
34732,Connecticut,2/8/20,0,0,0
34742,Connecticut,2/9/20,0,0,0
34752,Connecticut,2/10/20,0,0,0
34762,Connecticut,2/11/20,0,0,0
34772,Connecticut,2/12/20,0,0,0
34782,Connecticut,2/13/20,0,0,0
34792,Connecticut,2/14/20,0,0,0
34802,Connecticut,2/15/20,0,0,0
34812,Connecticut,2/16/20,0,0,0
34822,Connecticut,2/17/20,0,0,0
34832,Connecticut,2/18/20,0,0,0
34842,Connecticut,2/19/20,0,0,0
34852,Connecticut,2/20/20,0,0,0
34862,Connecticut,2/21/20,0,0,0
34872,Connecticut,2/22/20,0,0,0
34882,Connecticut,2/23/20,0,0,0
34892,Connecticut,2/24/20,0,0,0
34902,Connecticut,2/25/20,0,0,0
34912,Connecticut,2/26/20,0,0,0
